store,url,niche,why_it_matters,features_to_steal,snapshot_file,snapshot_path,snapshot_title,snapshot_description,blocked,platform,bnpl,reviews,support,subscriptions,returns,search_personalization,tracking,ux_keywords
BarkBox,https://www.barkbox.com,Subscription pet,Fun onboarding + gifting,Subscription UX; gifting flows; retention bundles,barkbox.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/barkbox.html,Just a moment...,,bot_protection_or_blocked,magento,,,,,,,,
Petco,https://www.petco.com,Pet retail,Omnichannel retail + subscriptions,Pickup cues; membership; subscriptions; services,petco.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/petco.html,Page Not Found,Petco offers a variety of pet supplies and pet food. Shop online now for your pet products.,,,,,,,,,,
PetSmart,https://www.petsmart.com,Pet retail,Services + retail integration,Appointments; loyalty; pickup cues,petsmart.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/petsmart.html,"Pet Supplies, Accessories, and Pet Food - Pet Stores | PetSmart","PetSmart pet stores offer quality pet products, pet food, and accessories. Find pet service locations for pet grooming, dog training, and boarding.",,magento,,bazaarvoice,,,,algolia,gtm,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
The Farmer's Dog,https://www.thefarmersdog.com,Subscription pet food,Personalization for trust,Quiz onboarding; subscriptions; trust cues,the-farmer-s-dog.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/the-farmer-s-dog.html,Just a moment...,,bot_protection_or_blocked,magento,,,,,,,,sustainability
Nom Nom,https://www.nomnomnow.com,Subscription pet food,Subscription meal personalization,Quiz onboarding; subscriptions; delivery scheduling,nom-nom.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/nom-nom.html,,"Nom Nom is healthy, fresh food for dogs formulated by top Board Certified Veterinary Nutritionists. Prepped in our kitchens with free delivery to your door.",,shopify,,,,,,,"gtm, ga, meta_pixel",sustainability
Brooklinen,https://www.brooklinen.com,Home DTC,Bundle-first merchandising,Bundles; comparisons; reviews; fast checkout,brooklinen.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/brooklinen.html,"Luxury Bedding, Sheets & Comforters Online | Brooklinen","Discover Brooklinen’s premium bedding collection. Shop soft sheets, cozy comforters, and soft & firm supportive pillows designed for the best night’s sleep.",,"shopify, magento",,yotpo,,,,dynamic_yield,"gtm, ga, meta_pixel","free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
Parachute,https://www.parachutehome.com,Home DTC,Premium positioning with education,Material education; room navigation; PDP specs,parachute.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/parachute.html,"Parachute – Home happens here. Bedding, bath linens, decor and more. – Parachute Home","Very comfortable essentials that make you feel at home – bedding, bath linens, decor and more. Enjoy free shipping and returns, plus a 60 day trial.",,"shopify, magento",affirm,"yotpo, bazaarvoice",gorgias,,,rebuy,"ga, tiktok_pixel","free_shipping, returns_exchanges, store_locator, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
Article,https://www.article.com,Furniture DTC,Large-ticket confidence building,Delivery/returns clarity; reviews; PDP specs; financing,article.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/article.html,"Contemporary, Mid Century & Modern Furniture | Article","Browse Article's stylish catalog of contemporary, mid century & modern furniture from world renowned designers at accessible prices. Shop now!",,magento,affirm,,,,,algolia,"gtm, ga, meta_pixel","returns_exchanges, gift_cards, newsletter_signup, sustainability"
IKEA,https://www.ikea.com,Home retail,Discovery at massive scale,Room merchandising; inventory/store integration,ikea.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/ikea.html,Hej! Welcome to IKEA Global,"Furniture, home accessories, design ideas and inspiration for big dreams and small budgets. A better everyday life begins at home!",,magento,,,,,,,"gtm, ga",sustainability
Wayfair,https://www.wayfair.com,Home retail,Catalog discovery at scale,Filtering; reviews; delivery estimates; financing,wayfair.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/wayfair.html,Access to this page has been denied,px-captcha,,magento,,,,,,,,
Casper,https://casper.com,Home DTC,Mattress conversion + de-risking,Trial framing; comparisons; reviews; financing,casper.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/casper.html,The Best Bed for Better Sleep | Casper Homepage,"Get the sleep you've always dreamed of. Casper's award-winning mattresses, sheets & more are quality-crafted and ethically built in the USA. Free shipping & returns!",,"shopify, magento","afterpay, klarna, affirm","yotpo, trustpilot",,,,,,"free_shipping, returns_exchanges, size_fit, store_locator, gift_cards, newsletter_signup, sustainability"
Saatva,https://www.saatva.com,Home DTC,Premium mattress trust,Delivery/trial clarity; concierge; reviews; financing,saatva.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/saatva.html,ERROR: The request could not be satisfied,,,,,,,,,,,
Joybird,https://joybird.com,Furniture DTC,Customization + swatches,Configurator; swatch ordering; delivery clarity,joybird.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/joybird.html,Modern Furniture & Home Decor - Custom Furniture | Joybird,"Joybird helps bring your personal style home with customizable retro and modern furniture, mid-century inspired designs, and home decor for every space.",,magento,affirm,,zendesk,,,algolia,,"returns_exchanges, size_fit, newsletter_signup, loyalty_rewards, sustainability"
Ruggable,https://ruggable.com,Home DTC,Product education + bundles,How-it-works; size guidance; bundles,ruggable.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/ruggable.html,Washable Rugs & Washable Area Rugs by Ruggable | Ruggable US,The original washable rug is still the best. Ruggable rugs are machine washable and stain resistant. Great for homes with kids and pets. Free shipping!,,"shopify, magento",klarna,,,,,,,"free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
Boll & Branch,https://www.bollandbranch.com,Home DTC,Premium basics conversion,Trust cues; reviews; bundles; gifting,boll-branch.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/boll-branch.html,"Luxury Organic Bedding, Sheets & Towels | Boll & Branch® | Boll & Branch","At Boll & Branch, we hold ourselves to a higher standard. Our organic bedding is toxin-free and Fair Trade Certified. Enjoy free shipping & returns on all U.S. orders of $100+.",,"shopify, magento",,,,,,rebuy,,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, sustainability"
Crate & Barrel,https://www.crateandbarrel.com,Home retail,Room merchandising + registry,Room inspiration; registry; omnichannel cues,crate-barrel.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/crate-barrel.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,
West Elm,https://www.westelm.com,Home retail,Design-led merchandising,Room inspiration; filtering; registry; delivery estimates,west-elm.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/west-elm.html,West Elm: 403 - Restricted Access,,,,,,,,,,,
Pottery Barn,https://www.potterybarn.com,Home retail,Registry + room sets,Registry; room sets; delivery estimates,pottery-barn.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/pottery-barn.html,Pottery Barn: 403 - Restricted Access,,,,,,,,,,,
Williams Sonoma,https://www.williams-sonoma.com,Home retail,Cooking ecosystem merchandising,Bundles; subscriptions; registry; content,williams-sonoma.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/williams-sonoma.html,Williams-Sonoma: 403 - Restricted Access,,,,,,,,,,,
Apple,https://www.apple.com,Electronics DTC,Best-in-class product education,Comparison tools; configurators; trade-in flows,apple.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/apple.html,Apple,"Discover the innovative world of Apple and shop everything iPhone, iPad, Apple Watch, Mac, and Apple TV, plus explore accessories, entertainment, and expert device support.",,magento,,,,,,,,"store_locator, gift_cards, sustainability"
Samsung,https://www.samsung.com,Electronics DTC,Device configurators + trade-in,Configurator; financing; trade-in; bundles,samsung.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/samsung.html,Samsung Việt Nam | Thiết Bị Di Động | Tivi | Điện Gia Dụng,"Khám phá công nghệ hàng đầu thế giới tại Samsung Việt Nam và mua sắm các sản phẩm chính hãng như Điện thoại di động, TiVi, thiết bị gia dụng và hơn thế nữa.",,magento,,,,,,nosto,,"newsletter_signup, loyalty_rewards, sustainability"
Google Store,https://store.google.com,Electronics DTC,Simple bundles + financing,Bundles; financing; trade-in; fast checkout,google-store.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/google-store.html,Change your region and language,,,magento,,,,,,,,sustainability
Best Buy,https://www.bestbuy.com,Electronics retail,Retail trust + pickup,Pickup cues; warranties; reviews; financing,,,,,,,,,,,,,,
Sonos,https://www.sonos.com,Electronics DTC,Premium audio education,Product comparison; bundles; setup guidance,sonos.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/sonos.html,Sonos: Save Up to 20% off Selected Products,"Experience the sound of Sonos, now with discounts on selected products. Available for a limited time.",,magento,,"okendo, powerreviews",,,,,"gtm, ga","returns_exchanges, store_locator, gift_cards, newsletter_signup, sustainability"
Bose,https://www.bose.com,Electronics DTC,Trust + comparisons,Comparisons; bundles; financing; reviews,bose.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/bose.html,"Headphones, Earbuds, Speakers, Soundbars, & More | Bose","Experience the latest in sound innovation. Shop Bose headphones, speakers, soundbars, and more, supported by premium customer service. Sound is Power.",,magento,,,,,,,gtm,"returns_exchanges, store_locator, gift_cards, newsletter_signup, sustainability"
Dyson,https://www.dyson.com,Appliances DTC,High-AOV specs + trust,PDP specs; comparisons; financing; warranty,,,,,,,,,,,,,,
Peloton,https://www.onepeloton.com,Fitness DTC,Hardware + subscription bundling,Financing; subscription anchoring; onboarding,peloton.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/peloton.html,Peloton: Innovative exercise equipment and personalized workout plans,"Discover Peloton’s fitness equipment and personalized workout plans. From cardio to strength, find an exercise program that keeps you motivated and on track.",,magento,"klarna, affirm",,,,,,,"free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, sustainability"
Garmin,https://www.garmin.com,Electronics DTC,Configurator + comparisons,Product finder; comparisons; bundles; warranty,garmin.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/garmin.html,Garmin Việt Nam | Home,"Cung cấp công nghệ GPS hiện đại trên các thị trường khác nhau, bao gồm hàng không, hàng hải, thể dục, hoạt động giải trí ngoài trời, ứng dụng theo dõi và ứng dụng di động.",,magento,,,,,,algolia,ga,"returns_exchanges, sustainability"
B&H Photo Video,https://www.bhphotovideo.com,Electronics retail,Catalog discovery for pros,Filtering; specs; reviews; comparisons,b-h-photo-video.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/b-h-photo-video.html,Just a moment...,,bot_protection_or_blocked,magento,,,,,,,,
REI,https://www.rei.com,Outdoor retail,Trust + education-driven shopping,Expert content; filters; reviews; pickup cues,,,,,,,,,,,,,,
Patagonia,https://www.patagonia.com,Outdoor DTC,Values-led trust + repair economy,Storytelling; repair/resale messaging; education,patagonia.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/patagonia.html,Hang Tight! Routing to checkout...,,,,,,,,,,,sustainability
Backcountry,https://www.backcountry.com,Outdoor retail,Discovery for outdoors,Filtering; expert content; reviews; chat/support,backcountry.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/backcountry.html,,,,,,,,,,,,
The North Face,https://www.thenorthface.com,Outdoor DTC,Omnichannel + drops,Drops; membership; product education,the-north-face.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/the-north-face.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,
Arc'teryx,https://arcteryx.com,Outdoor DTC,Premium outdoor education,Product education; sizing; store locator,arc-teryx.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/arc-teryx.html,"Outdoor Clothing, Technical Outerwear, & Accessories | Arc'teryx Canada","Arc'teryx is a high performance outdoor equipment company known for leading innovations in climbing, skiing and alpine technologies",,magento,,,,,,,,"returns_exchanges, store_locator, gift_cards, newsletter_signup, sustainability"
Salomon,https://www.salomon.com,Outdoor DTC,Performance product guidance,Product finder; sizing; reviews; bundles,salomon.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/salomon.html,"SALOMON | Running shoes and clothing, trail running, hiking, ski and snowboard | Salomon","Premium gear for men, women, and children. Explore ski, snowboard, and trail essentials, Sportstyle shoes, and more for your next adventure.",,magento,,bazaarvoice,,,,"algolia, dynamic_yield","gtm, ga","free_shipping, returns_exchanges, size_fit, store_locator, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
Decathlon,https://www.decathlon.com,Outdoor retail,Value + category breadth,Filtering; comparisons; pickup cues; reviews,decathlon.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/decathlon.html,Decathlon America | Outdoor Sports Clothing & Gear,"Shop high-quality outdoor and running gear, apparel, and equipment for camping, hiking, running, and more. Explore our puffer jackets, backpacks, tents, hiking boots, rain jackets, running gear, moisture-wicking apparel, Merino wool, bikes and more for your next adventure!",,"shopify, magento",,,gorgias,,,"rebuy, dynamic_yield",ga,"free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, sustainability"
Dick's Sporting Goods,https://www.dickssportinggoods.com,Outdoor retail,Retail trust + services,Pickup cues; rewards; financing; reviews,,,,,,,,,,,,,,
Warby Parker,https://www.warbyparker.com,Eyewear DTC,Try-before-buy confidence systems,Home try-on; store locator; fit guidance,warby-parker.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/warby-parker.html,Warby Parker,Warby Parker,,,,,,,,,,sustainability
Zenni Optical,https://www.zennioptical.com,Eyewear DTC,Low-friction eyewear purchase,Virtual try-on; configurator; fast checkout,,,,,,,,,,,,,,
Ray-Ban,https://www.ray-ban.com,Eyewear DTC,Product personalization,Personalization; bundles; store locator,ray-ban.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/ray-ban.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,
Away,https://www.awaytravel.com,Travel DTC,Premium physical product conversion,PDP specs; warranty framing; bundling accessories,away.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/away.html,Away: Built for modern travel,"Thoughtfully designed travel essentials that make every journey more seamless. Shop luggage, bags, and accessories built for modern travel.",,"shopify, magento",,bazaarvoice,,,aftership,,gtm,"free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, sustainability"
Rimowa,https://www.rimowa.com,Travel DTC,Luxury product storytelling,Premium PDP; warranties; store locator,rimowa.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/rimowa.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,
Samsonite,https://www.samsonite.com,Travel retail,Catalog + filtering,Filtering; bundles; warranties; promos,samsonite.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/samsonite.html,Samsonite Việt Nam | Phân phối độc quyền và chính hãng,"Phân phối độc quyền, chính hãng vali, vali kéo, balo, túi xách, phụ kiện du lịch… thương hiệu Samsonite, American Tourister, Kamiliant, Lipault, High Sierra",,magento,,,,,,,"gtm, ga, meta_pixel",sustainability
TUMI,https://www.tumi.com,Travel DTC,Luxury personalization,Personalization; bundles; store locator,tumi.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/tumi.html,"Premium Luggage, Bags, & Travel Accessories | Tumi US",Experience the TUMI difference when exploring our world-class business and travel products. Discover a wide selection of high-quality products today.,,magento,klarna,,,,,,"gtm, ga","free_shipping, returns_exchanges, store_locator, gift_cards, newsletter_signup, sustainability"
Amazon,https://www.amazon.com,Marketplace,Speed and reduced friction,Checkout speed; recommendations; reviews density,amazon.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/amazon.html,,,,,,,,,,,,
Etsy,https://www.etsy.com,Marketplace,Personalization + discovery loops,Search relevance; trust mechanisms; personalization,etsy.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/etsy.html,etsy.com,,,,,,,,,,,
eBay,https://www.ebay.com,Marketplace,Marketplace trust + deals,Bidding UX; seller trust; filtering,ebay.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/ebay.html,"Electronics, Cars, Fashion, Collectibles & More | eBay","Buy & sell electronics, cars, clothes, collectibles & more on eBay, the world's online marketplace. Top brands, low prices & free shipping on many items.",,,,,,,,,,"free_shipping, returns_exchanges, gift_cards, loyalty_rewards, sustainability"
Target,https://www.target.com,Marketplace,Omnichannel retail UX,Pickup cues; bundles; loyalty; reviews,target.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/target.html,Target,,,,,,,,,,,sustainability
Walmart,https://www.walmart.com,Marketplace,Speed + marketplace,Pickup cues; subscriptions; recommendations; reviews,walmart.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/walmart.html,Walmart | Save Money. Live better.,Shop Walmart.com today for Every Day Low Prices. Join Walmart+ for unlimited free delivery from your store and free shipping with no order minimum. Start your free 30-day trial now!,,magento,"klarna, affirm",bazaarvoice,,,,,meta_pixel,"free_shipping, returns_exchanges, newsletter_signup, loyalty_rewards, sustainability"
Poshmark,https://poshmark.com,Resale marketplace,Resale discovery + community,Social selling; search; trust cues; offers,poshmark.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/poshmark.html,"Poshmark: Buy and sell fashion, home decor, beauty & more","Buy, sell, and discover fashion, home decor, beauty, and more",,,affirm,trustpilot,,,,,"gtm, ga, meta_pixel, tiktok_pixel","free_shipping, returns_exchanges, gift_cards, newsletter_signup, sustainability"
The RealReal,https://www.therealreal.com,Resale marketplace,Luxury authentication trust,Authentication cues; condition grading; returns clarity,the-realreal.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/the-realreal.html,Access to this page has been denied,px-captcha,,magento,,,,,,,,
Depop,https://www.depop.com,Resale marketplace,Social marketplace conversion,Social feed; offers; messaging; trust cues,depop.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/depop.html,Forbidden - Depop,,,magento,,,zendesk,,,,,
StockX,https://stockx.com,Resale marketplace,Market price transparency,Price charts; authenticity; bids/asks,stockx.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/stockx.html,Just a moment...,,bot_protection_or_blocked,magento,,,,,,,,
Rent the Runway,https://www.renttherunway.com,Rental marketplace,Rental subscription model,Membership tiers; inventory UX; fit guidance,rent-the-runway.html,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/rent-the-runway.html,Rent the Runway | Designer Clothing Subscription &amp; Dress Rentals,"The premier designer rental destination giving you more access, style and options than anywhere else. RTR’s rotating closet is constantly updated with new trends, does your dry cleaning and takes up zero space. The future of fashion is here.",,magento,,,,,,,gtm,"free_shipping, returns_exchanges, gift_cards, loyalty_rewards, sustainability"
